0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.011,0.01,0.01,0.009,0.011,0.011,0.009,0.01,0.008,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.011,0.009,0.01,0.01,0.01,0.009,0.009,0.011,0.011,0.009,0.011,0.011,0.009,0.009,0.009,0.011,0.009,0.01,0.011,0.011,0.01,0.011,0.012,0.011,0.009,0.01,0.011,0.011,0.009,0.01,0.009,0.01,0.011,0.009,0.009,0.009,0.009,0.011,0.01,0.01,0.011,0.011,0.012,0.01,0.009,0.009,0.011,0.01,0.01,0.011,0.012,0.011,0.01,0.012,0.011,0.01,0.011,0.012,0.01,0.008,0.011,0.01,0.01,0.01,0.009,0.009,0.01,0.011,0.011,0.011,0.008,0.011,0.009,0.008,0.01,0.01,0.009,0.009,0.01,0.009,0.01,0.01,0.009,0.011
0.011,0.011,0.007,0.008,0.009,0.014,0.013,0.01,0.008,0.008,0.008,0.013,0.015,0.008,0.015,0.006,0.012,0.016,0.01,0.012,0.007,0.01,0.006,0.007,0.009,0.012,0.009,0.013,0.008,0.013,0.011,0.013,0.008,0.008,0.01,0.008,0.009,0.008,0.008,0.012,0.009,0.008,0.008,0.01,0.011,0.009,0.007,0.009,0.008,0.007,0.009,0.01,0.009,0.009,0.011,0.009,0.008,0.01,0.009,0.008,0.008,0.009,0.012,0.01,0.014,0.008,0.016,0.012,0.009,0.013,0.011,0.009,0.008,0.009,0.013,0.007,0.012,0.013,0.008,0.013,0.016,0.013,0.015,0.007,0.008,0.015,0.009,0.012,0.011,0.013,0.009,0.006,0.006,0.009,0.01,0.009,0.009,0.008,0.012,0.009
0.01,0.014,0.011,0.008,0.009,0.011,0.009,0.009,0.006,0.01,0.006,0.017,0.009,0.012,0.012,0.006,0.013,0.008,0.007,0.011,0.01,0.008,0.008,0.007,0.013,0.01,0.009,0.01,0.008,0.006,0.01,0.016,0.012,0.007,0.01,0.013,0.009,0.011,0.008,0.011,0.012,0.015,0.014,0.009,0.005,0.009,0.012,0.009,0.01,0.009,0.008,0.009,0.009,0.01,0.009,0.012,0.011,0.011,0.01,0.008,0.007,0.005,0.012,0.007,0.016,0.011,0.011,0.012,0.01,0.008,0.014,0.013,0.009,0.015,0.013,0.01,0.014,0.007,0.012,0.008,0.01,0.011,0.009,0.011,0.014,0.008,0.005,0.015,0.009,0.007,0.011,0.011,0.008,0.007,0.011,0.011,0.011,0.009,0.007,0.007
0.01,0.014,0.012,0.012,0.01,0.007,0.01,0.012,0.008,0.011,0.006,0.014,0.007,0.015,0.012,0.01,0.011,0.009,0.014,0.014,0.013,0.007,0.013,0.008,0.014,0.01,0.008,0.011,0.01,0.008,0.01,0.013,0.008,0.007,0.007,0.011,0.008,0.01,0.012,0.009,0.012,0.014,0.012,0.009,0.007,0.012,0.01,0.006,0.007,0.008,0.009,0.01,0.011,0.008,0.01,0.009,0.013,0.009,0.009,0.009,0.008,0.009,0.01,0.011,0.009,0.011,0.009,0.012,0.009,0.01,0.01,0.01,0.008,0.014,0.009,0.01,0.01,0.009,0.012,0.008,0.01,0.008,0.006,0.014,0.01,0.009,0.007,0.012,0.008,0.009,0.009,0.009,0.008,0.008,0.014,0.01,0.012,0.009,0.011,0.009
0.011,0.006,0.012,0.01,0.011,0.008,0.009,0.009,0.011,0.01,0.01,0.009,0.009,0.01,0.008,0.011,0.008,0.007,0.01,0.009,0.01,0.012,0.012,0.01,0.01,0.008,0.01,0.01,0.011,0.01,0.009,0.009,0.01,0.011,0.01,0.01,0.012,0.01,0.01,0.01,0.008,0.01,0.01,0.009,0.012,0.011,0.011,0.01,0.013,0.01,0.011,0.01,0.01,0.01,0.01,0.011,0.011,0.009,0.009,0.011,0.014,0.012,0.008,0.012,0.01,0.011,0.008,0.01,0.009,0.01,0.01,0.01,0.01,0.009,0.008,0.012,0.01,0.01,0.01,0.009,0.009,0.008,0.01,0.01,0.011,0.01,0.011,0.01,0.01,0.009,0.011,0.01,0.012,0.009,0.009,0.009,0.012,0.01,0.01,0.011
0.007,0.008,0.009,0.012,0.011,0.006,0.007,0.008,0.013,0.006,0.012,0.006,0.01,0.004,0.009,0.013,0.007,0.01,0.005,0.007,0.008,0.014,0.012,0.017,0.006,0.007,0.014,0.011,0.009,0.013,0.008,0.006,0.012,0.013,0.016,0.009,0.016,0.01,0.01,0.013,0.009,0.007,0.009,0.008,0.012,0.011,0.006,0.011,0.02,0.012,0.015,0.007,0.009,0.014,0.011,0.013,0.01,0.011,0.013,0.009,0.014,0.008,0.009,0.011,0.009,0.011,0.007,0.012,0.007,0.009,0.006,0.012,0.01,0.007,0.008,0.012,0.007,0.015,0.008,0.009,0.008,0.011,0.01,0.009,0.009,0.008,0.011,0.009,0.008,0.008,0.016,0.015,0.012,0.009,0.008,0.01,0.012,0.007,0.009,0.013
0.008,0.009,0.006,0.008,0.01,0.014,0.009,0.007,0.011,0.008,0.012,0.009,0.013,0.006,0.014,0.011,0.008,0.015,0.01,0.012,0.006,0.012,0.009,0.011,0.005,0.012,0.011,0.013,0.007,0.017,0.009,0.009,0.009,0.014,0.014,0.007,0.011,0.009,0.008,0.011,0.011,0.007,0.009,0.011,0.012,0.009,0.006,0.01,0.009,0.008,0.012,0.011,0.01,0.009,0.011,0.012,0.007,0.011,0.013,0.009,0.01,0.011,0.01,0.01,0.011,0.006,0.012,0.011,0.006,0.01,0.007,0.011,0.01,0.008,0.01,0.008,0.009,0.014,0.008,0.01,0.01,0.014,0.013,0.007,0.009,0.012,0.015,0.011,0.014,0.011,0.01,0.01,0.01,0.01,0.008,0.01,0.008,0.008,0.011,0.011
0.011,0.007,0.009,0.01,0.011,0.011,0.009,0.009,0.011,0.011,0.012,0.009,0.01,0.011,0.01,0.011,0.009,0.01,0.009,0.009,0.011,0.013,0.012,0.012,0.009,0.009,0.01,0.009,0.01,0.01,0.009,0.009,0.012,0.011,0.009,0.01,0.011,0.009,0.009,0.01,0.009,0.009,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.011,0.01,0.009,0.011,0.01,0.01,0.011,0.011,0.011,0.01,0.012,0.01,0.01,0.009,0.012,0.009,0.01,0.009,0.009,0.009,0.011,0.01,0.01,0.01,0.012,0.01,0.01,0.009,0.012,0.007,0.01,0.009,0.009,0.009,0.009,0.012,0.008,0.012,0.007,0.01,0.011,0.012,0.012,0.011,0.011,0.008,0.011,0.01,0.01,0.01,0.011
0.01,0.009,0.009,0.009,0.011,0.011,0.008,0.01,0.01,0.009,0.01,0.009,0.011,0.008,0.01,0.013,0.008,0.011,0.008,0.009,0.008,0.012,0.01,0.009,0.009,0.008,0.012,0.009,0.01,0.011,0.011,0.009,0.012,0.012,0.012,0.012,0.013,0.011,0.009,0.012,0.009,0.009,0.008,0.008,0.011,0.011,0.01,0.01,0.012,0.012,0.013,0.008,0.009,0.012,0.01,0.01,0.01,0.011,0.013,0.009,0.011,0.008,0.009,0.01,0.008,0.01,0.009,0.01,0.008,0.008,0.01,0.01,0.009,0.011,0.008,0.008,0.011,0.012,0.009,0.01,0.009,0.011,0.01,0.01,0.012,0.009,0.01,0.009,0.009,0.008,0.01,0.013,0.011,0.01,0.009,0.01,0.01,0.01,0.01,0.011
0.01,0.013,0.009,0.009,0.007,0.015,0.014,0.012,0.009,0.009,0.009,0.011,0.011,0.008,0.013,0.009,0.011,0.012,0.01,0.013,0.008,0.011,0.006,0.008,0.009,0.011,0.01,0.014,0.009,0.01,0.013,0.013,0.006,0.01,0.007,0.007,0.007,0.008,0.008,0.011,0.009,0.009,0.01,0.013,0.01,0.009,0.008,0.01,0.009,0.009,0.009,0.013,0.008,0.009,0.011,0.009,0.008,0.01,0.011,0.009,0.009,0.011,0.012,0.009,0.01,0.008,0.012,0.01,0.009,0.01,0.011,0.009,0.011,0.009,0.013,0.009,0.01,0.008,0.01,0.014,0.012,0.014,0.014,0.007,0.008,0.014,0.009,0.012,0.015,0.012,0.007,0.006,0.006,0.01,0.008,0.009,0.007,0.012,0.011,0.009
0.01,0.013,0.014,0.011,0.006,0.009,0.01,0.009,0.009,0.016,0.008,0.014,0.008,0.014,0.01,0.01,0.012,0.006,0.011,0.009,0.013,0.006,0.011,0.008,0.015,0.011,0.009,0.01,0.008,0.007,0.011,0.013,0.009,0.007,0.009,0.01,0.009,0.011,0.012,0.01,0.009,0.011,0.012,0.011,0.006,0.012,0.012,0.008,0.007,0.01,0.009,0.011,0.009,0.009,0.008,0.008,0.012,0.011,0.006,0.012,0.009,0.009,0.011,0.009,0.011,0.012,0.011,0.009,0.014,0.01,0.013,0.01,0.012,0.012,0.01,0.008,0.011,0.006,0.013,0.008,0.01,0.008,0.007,0.011,0.012,0.01,0.006,0.015,0.009,0.008,0.007,0.01,0.012,0.009,0.011,0.01,0.009,0.013,0.008,0.009
0.011,0.01,0.011,0.009,0.012,0.008,0.01,0.009,0.01,0.009,0.01,0.01,0.008,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.012,0.012,0.011,0.012,0.011,0.01,0.01,0.008,0.01,0.011,0.011,0.01,0.011,0.011,0.012,0.011,0.011,0.011,0.011,0.009,0.01,0.009,0.01,0.01,0.011,0.01,0.012,0.009,0.011,0.01,0.012,0.01,0.01,0.009,0.008,0.01,0.01,0.009,0.009,0.01,0.011,0.01,0.009,0.009,0.009,0.011,0.009,0.009,0.01,0.009,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.01,0.011,0.009,0.01,0.009,0.008,0.01,0.01,0.009,0.011,0.009,0.01,0.012,0.009,0.01,0.008,0.01
0.01,0.007,0.012,0.012,0.011,0.006,0.01,0.01,0.01,0.011,0.009,0.008,0.009,0.013,0.007,0.013,0.013,0.009,0.011,0.008,0.012,0.01,0.015,0.011,0.013,0.008,0.01,0.008,0.011,0.008,0.011,0.008,0.01,0.01,0.009,0.009,0.01,0.01,0.012,0.009,0.008,0.009,0.008,0.01,0.015,0.012,0.015,0.007,0.008,0.012,0.008,0.01,0.01,0.008,0.009,0.01,0.013,0.009,0.008,0.01,0.01,0.011,0.009,0.01,0.009,0.012,0.006,0.01,0.01,0.012,0.007,0.012,0.011,0.01,0.008,0.012,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.01,0.011,0.007,0.012,0.008,0.008,0.009,0.01,0.011,0.013,0.012,0.011,0.008,0.014,0.011,0.009,0.01
0.01,0.007,0.011,0.012,0.011,0.01,0.008,0.009,0.012,0.01,0.012,0.008,0.009,0.011,0.008,0.014,0.007,0.006,0.01,0.007,0.013,0.012,0.017,0.012,0.011,0.006,0.01,0.007,0.012,0.01,0.009,0.005,0.01,0.011,0.009,0.012,0.011,0.012,0.012,0.009,0.007,0.007,0.009,0.008,0.012,0.009,0.013,0.01,0.012,0.012,0.011,0.01,0.011,0.012,0.009,0.013,0.012,0.01,0.01,0.008,0.015,0.012,0.008,0.014,0.008,0.011,0.006,0.01,0.011,0.009,0.01,0.011,0.01,0.007,0.009,0.012,0.008,0.011,0.01,0.01,0.008,0.007,0.009,0.01,0.012,0.008,0.011,0.007,0.006,0.009,0.013,0.012,0.015,0.012,0.008,0.01,0.012,0.009,0.008,0.011
0.009,0.011,0.009,0.008,0.011,0.01,0.011,0.01,0.009,0.01,0.012,0.012,0.011,0.008,0.01,0.008,0.01,0.012,0.01,0.011,0.009,0.009,0.009,0.01,0.009,0.01,0.011,0.012,0.008,0.011,0.011,0.01,0.011,0.012,0.01,0.009,0.009,0.009,0.008,0.011,0.01,0.009,0.008,0.01,0.01,0.011,0.009,0.009,0.01,0.008,0.009,0.011,0.009,0.01,0.011,0.011,0.009,0.01,0.011,0.008,0.008,0.01,0.012,0.01,0.011,0.008,0.012,0.01,0.008,0.011,0.012,0.009,0.01,0.01,0.011,0.008,0.011,0.011,0.007,0.012,0.011,0.012,0.012,0.007,0.01,0.011,0.01,0.011,0.011,0.013,0.01,0.009,0.009,0.009,0.01,0.011,0.009,0.01,0.009,0.011
0.014,0.01,0.014,0.01,0.01,0.009,0.011,0.011,0.007,0.013,0.009,0.012,0.008,0.017,0.007,0.007,0.011,0.007,0.012,0.011,0.016,0.009,0.01,0.008,0.017,0.009,0.009,0.011,0.008,0.005,0.01,0.014,0.01,0.006,0.007,0.011,0.01,0.011,0.01,0.01,0.009,0.015,0.015,0.008,0.007,0.012,0.014,0.011,0.01,0.01,0.007,0.012,0.009,0.01,0.008,0.008,0.014,0.008,0.008,0.011,0.008,0.009,0.011,0.009,0.013,0.008,0.011,0.009,0.013,0.007,0.008,0.009,0.014,0.014,0.007,0.011,0.01,0.008,0.012,0.009,0.011,0.006,0.006,0.014,0.014,0.01,0.007,0.009,0.008,0.009,0.008,0.01,0.008,0.01,0.012,0.01,0.008,0.01,0.007,0.006
0.011,0.009,0.01,0.009,0.017,0.009,0.009,0.007,0.011,0.007,0.007,0.009,0.008,0.009,0.011,0.01,0.01,0.008,0.009,0.007,0.013,0.01,0.014,0.013,0.01,0.007,0.011,0.008,0.011,0.009,0.008,0.01,0.013,0.01,0.011,0.012,0.01,0.012,0.01,0.011,0.01,0.008,0.011,0.008,0.009,0.013,0.011,0.01,0.011,0.007,0.012,0.01,0.009,0.012,0.009,0.014,0.012,0.011,0.011,0.011,0.009,0.009,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.01,0.012,0.008,0.011,0.007,0.011,0.009,0.011,0.01,0.009,0.008,0.009,0.008,0.012,0.011,0.007,0.009,0.009,0.008,0.009,0.012,0.012,0.01,0.01,0.009,0.011,0.012,0.009,0.01,0.01
0.01,0.01,0.011,0.01,0.008,0.01,0.013,0.012,0.01,0.01,0.01,0.01,0.011,0.011,0.009,0.011,0.01,0.01,0.011,0.012,0.01,0.011,0.007,0.009,0.012,0.011,0.009,0.009,0.01,0.009,0.011,0.011,0.008,0.009,0.009,0.009,0.009,0.009,0.011,0.01,0.01,0.009,0.009,0.011,0.009,0.011,0.008,0.007,0.01,0.009,0.009,0.011,0.012,0.008,0.011,0.008,0.008,0.009,0.009,0.01,0.009,0.011,0.01,0.009,0.011,0.009,0.011,0.01,0.01,0.01,0.01,0.009,0.011,0.01,0.01,0.009,0.013,0.008,0.01,0.011,0.011,0.01,0.01,0.009,0.01,0.013,0.011,0.012,0.011,0.011,0.008,0.008,0.011,0.012,0.011,0.01,0.009,0.011,0.009,0.01
0.01,0.009,0.011,0.01,0.012,0.008,0.01,0.008,0.01,0.01,0.01,0.009,0.009,0.011,0.008,0.011,0.011,0.008,0.009,0.008,0.011,0.011,0.012,0.01,0.01,0.009,0.012,0.009,0.008,0.011,0.011,0.01,0.011,0.01,0.011,0.01,0.01,0.011,0.009,0.012,0.009,0.01,0.01,0.008,0.012,0.009,0.012,0.01,0.012,0.01,0.01,0.01,0.01,0.011,0.008,0.01,0.012,0.01,0.01,0.01,0.011,0.011,0.008,0.01,0.01,0.011,0.009,0.012,0.009,0.008,0.009,0.01,0.011,0.01,0.009,0.011,0.011,0.01,0.01,0.008,0.009,0.007,0.009,0.01,0.012,0.008,0.011,0.01,0.007,0.008,0.012,0.011,0.012,0.01,0.01,0.01,0.01,0.01,0.009,0.01
0.01,0.01,0.009,0.011,0.011,0.009,0.01,0.009,0.009,0.009,0.009,0.011,0.01,0.013,0.01,0.01,0.011,0.009,0.009,0.01,0.01,0.009,0.011,0.01,0.011,0.009,0.01,0.01,0.01,0.008,0.011,0.012,0.008,0.009,0.008,0.01,0.01,0.01,0.01,0.009,0.01,0.011,0.012,0.009,0.007,0.012,0.013,0.011,0.012,0.011,0.009,0.01,0.01,0.009,0.01,0.01,0.013,0.009,0.009,0.009,0.008,0.01,0.01,0.01,0.01,0.011,0.01,0.011,0.011,0.01,0.008,0.011,0.009,0.012,0.011,0.011,0.012,0.009,0.01,0.011,0.009,0.008,0.008,0.011,0.012,0.009,0.009,0.01,0.01,0.009,0.01,0.009,0.009,0.01,0.011,0.009,0.01,0.012,0.01,0.01
0.008,0.013,0.008,0.011,0.007,0.013,0.017,0.014,0.012,0.012,0.01,0.014,0.013,0.01,0.012,0.008,0.01,0.014,0.013,0.014,0.009,0.009,0.005,0.008,0.011,0.013,0.008,0.012,0.008,0.011,0.013,0.01,0.006,0.008,0.006,0.008,0.007,0.008,0.009,0.012,0.009,0.009,0.01,0.011,0.009,0.01,0.008,0.008,0.005,0.007,0.008,0.011,0.009,0.008,0.01,0.008,0.008,0.009,0.009,0.009,0.009,0.012,0.011,0.009,0.011,0.006,0.014,0.009,0.011,0.011,0.013,0.007,0.011,0.009,0.012,0.007,0.012,0.008,0.009,0.011,0.014,0.014,0.014,0.008,0.007,0.015,0.01,0.014,0.015,0.012,0.005,0.005,0.007,0.011,0.01,0.009,0.008,0.01,0.01,0.009
0.007,0.009,0.011,0.012,0.01,0.011,0.011,0.014,0.013,0.011,0.013,0.008,0.013,0.008,0.009,0.012,0.007,0.011,0.012,0.009,0.007,0.012,0.012,0.01,0.01,0.008,0.008,0.009,0.01,0.011,0.011,0.007,0.008,0.011,0.011,0.008,0.012,0.009,0.009,0.011,0.008,0.009,0.008,0.011,0.015,0.01,0.007,0.01,0.009,0.011,0.01,0.01,0.013,0.008,0.011,0.011,0.009,0.009,0.011,0.01,0.011,0.011,0.007,0.011,0.009,0.009,0.009,0.009,0.01,0.01,0.009,0.008,0.009,0.007,0.01,0.011,0.009,0.011,0.011,0.008,0.011,0.009,0.009,0.009,0.008,0.011,0.014,0.009,0.01,0.01,0.009,0.008,0.011,0.012,0.01,0.009,0.011,0.009,0.012,0.011
0.011,0.011,0.011,0.01,0.009,0.009,0.01,0.009,0.009,0.013,0.011,0.011,0.008,0.013,0.011,0.011,0.009,0.009,0.01,0.009,0.013,0.009,0.01,0.009,0.011,0.01,0.008,0.01,0.011,0.008,0.01,0.011,0.01,0.01,0.007,0.01,0.009,0.011,0.013,0.011,0.011,0.01,0.01,0.011,0.008,0.01,0.011,0.01,0.009,0.011,0.01,0.011,0.009,0.01,0.009,0.009,0.012,0.009,0.01,0.01,0.01,0.011,0.011,0.01,0.011,0.009,0.011,0.011,0.01,0.008,0.01,0.008,0.011,0.011,0.011,0.013,0.011,0.009,0.011,0.01,0.009,0.008,0.009,0.011,0.013,0.01,0.008,0.01,0.01,0.01,0.008,0.008,0.009,0.01,0.011,0.009,0.011,0.011,0.009,0.009
0.013,0.009,0.009,0.009,0.009,0.01,0.008,0.008,0.01,0.009,0.012,0.011,0.01,0.01,0.011,0.009,0.012,0.012,0.009,0.011,0.008,0.009,0.009,0.009,0.008,0.013,0.01,0.01,0.008,0.011,0.008,0.011,0.011,0.009,0.01,0.01,0.009,0.01,0.008,0.01,0.011,0.01,0.012,0.01,0.01,0.011,0.01,0.011,0.011,0.01,0.009,0.01,0.011,0.01,0.011,0.01,0.009,0.011,0.01,0.009,0.009,0.009,0.01,0.009,0.009,0.011,0.012,0.01,0.009,0.01,0.01,0.012,0.01,0.009,0.01,0.008,0.01,0.01,0.009,0.011,0.009,0.011,0.012,0.011,0.01,0.01,0.009,0.012,0.01,0.01,0.01,0.011,0.008,0.009,0.009,0.011,0.01,0.009,0.011,0.008
0.01,0.009,0.009,0.009,0.011,0.008,0.009,0.009,0.01,0.011,0.009,0.01,0.007,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.011,0.009,0.011,0.011,0.012,0.009,0.011,0.008,0.009,0.007,0.009,0.009,0.01,0.009,0.012,0.011,0.01,0.011,0.012,0.009,0.011,0.011,0.011,0.01,0.009,0.01,0.012,0.013,0.011,0.011,0.009,0.01,0.008,0.01,0.01,0.01,0.014,0.011,0.009,0.01,0.009,0.009,0.009,0.009,0.01,0.012,0.009,0.011,0.011,0.01,0.011,0.01,0.01,0.011,0.011,0.012,0.011,0.011,0.01,0.011,0.009,0.007,0.008,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.01,0.011,0.01,0.008,0.01,0.011,0.009,0.011,0.009,0.009
0.01,0.008,0.01,0.012,0.01,0.01,0.011,0.01,0.012,0.011,0.01,0.008,0.011,0.008,0.01,0.012,0.009,0.012,0.01,0.009,0.008,0.013,0.01,0.011,0.01,0.009,0.01,0.01,0.011,0.012,0.01,0.007,0.01,0.011,0.01,0.009,0.01,0.008,0.009,0.01,0.009,0.007,0.007,0.009,0.013,0.009,0.008,0.011,0.011,0.01,0.011,0.011,0.011,0.01,0.01,0.012,0.009,0.01,0.011,0.009,0.012,0.012,0.009,0.01,0.008,0.011,0.01,0.008,0.01,0.009,0.009,0.01,0.009,0.009,0.008,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.011,0.009,0.012,0.008,0.01,0.011,0.01,0.009,0.011,0.013,0.01,0.01,0.012,0.01,0.012,0.011
0.01,0.011,0.009,0.009,0.012,0.012,0.011,0.009,0.01,0.008,0.011,0.01,0.01,0.009,0.01,0.007,0.01,0.01,0.009,0.01,0.01,0.009,0.009,0.01,0.009,0.009,0.011,0.01,0.011,0.01,0.011,0.01,0.011,0.009,0.011,0.01,0.01,0.011,0.009,0.009,0.01,0.011,0.009,0.009,0.008,0.01,0.01,0.008,0.01,0.01,0.01,0.011,0.01,0.011,0.01,0.011,0.009,0.01,0.009,0.01,0.01,0.01,0.011,0.009,0.011,0.01,0.011,0.01,0.01,0.011,0.011,0.01,0.011,0.01,0.011,0.01,0.01,0.01,0.01,0.008,0.01,0.01,0.009,0.01,0.009,0.011,0.009,0.012,0.012,0.01,0.01,0.013,0.009,0.01,0.01,0.011,0.01,0.011,0.01,0.01
0.01,0.014,0.006,0.01,0.009,0.015,0.011,0.008,0.01,0.008,0.008,0.013,0.015,0.006,0.011,0.007,0.011,0.015,0.011,0.014,0.006,0.01,0.007,0.008,0.006,0.014,0.01,0.013,0.009,0.013,0.009,0.01,0.008,0.009,0.01,0.01,0.01,0.006,0.007,0.01,0.01,0.009,0.008,0.012,0.009,0.009,0.006,0.009,0.01,0.007,0.008,0.009,0.009,0.01,0.012,0.013,0.007,0.012,0.011,0.009,0.007,0.009,0.013,0.011,0.013,0.009,0.015,0.011,0.006,0.009,0.011,0.011,0.009,0.009,0.012,0.007,0.009,0.009,0.009,0.012,0.011,0.016,0.014,0.007,0.009,0.013,0.009,0.013,0.017,0.012,0.009,0.008,0.007,0.008,0.01,0.012,0.008,0.01,0.012,0.012
0.01,0.009,0.008,0.01,0.013,0.01,0.008,0.008,0.008,0.008,0.011,0.01,0.01,0.006,0.012,0.01,0.01,0.01,0.009,0.009,0.01,0.011,0.009,0.011,0.009,0.01,0.011,0.01,0.01,0.013,0.007,0.009,0.012,0.01,0.013,0.011,0.012,0.012,0.01,0.011,0.01,0.01,0.009,0.01,0.01,0.01,0.009,0.012,0.012,0.009,0.012,0.008,0.008,0.012,0.009,0.012,0.01,0.01,0.011,0.009,0.008,0.009,0.009,0.011,0.012,0.012,0.01,0.009,0.009,0.01,0.012,0.012,0.008,0.01,0.01,0.011,0.012,0.01,0.008,0.011,0.008,0.01,0.009,0.009,0.009,0.008,0.01,0.01,0.009,0.011,0.01,0.011,0.008,0.008,0.009,0.011,0.01,0.009,0.01,0.01
0.011,0.012,0.012,0.009,0.01,0.009,0.012,0.011,0.009,0.011,0.009,0.012,0.009,0.011,0.011,0.009,0.01,0.009,0.011,0.011,0.011,0.01,0.009,0.009,0.011,0.012,0.01,0.01,0.01,0.008,0.01,0.01,0.009,0.008,0.008,0.011,0.009,0.011,0.012,0.009,0.01,0.009,0.012,0.008,0.008,0.01,0.012,0.01,0.011,0.01,0.007,0.011,0.01,0.01,0.008,0.01,0.012,0.01,0.008,0.01,0.008,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.01,0.01,0.01,0.013,0.009,0.01,0.01,0.009,0.009,0.009,0.01,0.008,0.008,0.012,0.01,0.01,0.008,0.011,0.01,0.01,0.01,0.009,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.009
0.011,0.012,0.013,0.009,0.009,0.008,0.011,0.012,0.007,0.011,0.008,0.014,0.007,0.015,0.009,0.006,0.014,0.007,0.011,0.01,0.015,0.007,0.01,0.008,0.014,0.014,0.011,0.008,0.009,0.007,0.01,0.014,0.008,0.008,0.007,0.011,0.009,0.011,0.012,0.009,0.01,0.016,0.015,0.01,0.007,0.011,0.015,0.012,0.008,0.009,0.007,0.009,0.008,0.01,0.009,0.007,0.012,0.008,0.008,0.01,0.008,0.008,0.011,0.009,0.011,0.012,0.012,0.011,0.012,0.01,0.011,0.01,0.011,0.013,0.011,0.01,0.012,0.008,0.012,0.009,0.008,0.008,0.007,0.014,0.013,0.01,0.005,0.011,0.01,0.007,0.01,0.01,0.008,0.008,0.011,0.009,0.012,0.011,0.006,0.008
0.013,0.009,0.009,0.007,0.011,0.009,0.007,0.009,0.007,0.009,0.011,0.012,0.012,0.008,0.01,0.008,0.011,0.009,0.009,0.007,0.011,0.01,0.01,0.009,0.009,0.009,0.011,0.009,0.009,0.01,0.007,0.011,0.012,0.009,0.011,0.012,0.011,0.011,0.01,0.009,0.011,0.011,0.011,0.009,0.006,0.009,0.011,0.011,0.014,0.011,0.011,0.008,0.009,0.009,0.01,0.013,0.011,0.01,0.009,0.01,0.009,0.007,0.011,0.008,0.012,0.011,0.009,0.011,0.011,0.009,0.012,0.011,0.009,0.01,0.011,0.011,0.011,0.009,0.01,0.012,0.011,0.011,0.009,0.009,0.011,0.009,0.008,0.012,0.01,0.009,0.012,0.011,0.011,0.008,0.01,0.012,0.011,0.01,0.01,0.01
0.008,0.01,0.012,0.014,0.008,0.01,0.017,0.015,0.014,0.011,0.008,0.009,0.008,0.011,0.008,0.012,0.011,0.006,0.016,0.011,0.011,0.008,0.011,0.007,0.011,0.01,0.007,0.008,0.011,0.009,0.013,0.007,0.006,0.01,0.006,0.006,0.006,0.008,0.013,0.009,0.008,0.009,0.011,0.009,0.012,0.013,0.013,0.009,0.006,0.011,0.007,0.013,0.012,0.007,0.01,0.007,0.01,0.01,0.007,0.012,0.012,0.015,0.01,0.01,0.008,0.009,0.007,0.007,0.016,0.01,0.01,0.008,0.013,0.008,0.01,0.011,0.008,0.008,0.017,0.007,0.012,0.01,0.009,0.01,0.01,0.011,0.011,0.011,0.009,0.012,0.007,0.007,0.012,0.013,0.011,0.007,0.011,0.012,0.007,0.009
